# left semicircle moving right
200 150 50 0 200 5
400 160 50 5 200 5
600 170 50 10 200 5
800 180 50 15 200 5
1000 190 50 20 200 5

# right semicircle moving left
200 450 50 0 200 5
400 440 50 -5 200 5
600 430 50 -10 200 5
800 420 50 -15 200 5
1000 410 50 -20 200 5

# left semicircle moving right
600 50 50 0 200 5
800 60 50 5 200 5
1000 70 50 10 200 5
1200 80 50 15 200 5
1400 90 50 20 200 5

# right semicircle moving left
600 550 50 0 200 5
800 540 50 -5 200 5
1000 530 50 -10 200 5
1200 520 50 -15 200 5
1400 510 50 -20 200 5

# line moving down
100 100 10 0 250 10
100 200 10 0 250 10
100 300 10 0 250 10
100 400 10 0 250 10
100 500 10 0 250 10

# offset line moving down
500 50 10 0 250 10
500 150 10 0 250 10
500 250 10 0 250 10
500 350 10 0 250 10
500 450 10 0 250 10
500 550 10 0 250 10

# line moving down
900 100 10 0 250 10
900 200 10 0 250 10
900 300 10 0 250 10
900 400 10 0 250 10
900 500 10 0 250 10

# offset line moving down
1300 50 10 0 250 10
1300 150 10 0 250 10
1300 250 10 0 250 10
1300 350 10 0 250 10
1300 450 10 0 250 10
1300 550 10 0 250 10
